name,key,taxonomic_rank,order,family,genus
Antrodiella_semisupina,2541957,SPECIES,Polyporales,Steccherinaceae,Antrodiella
Clavaria_fumosa,5244508,SPECIES,Agaricales,Clavariaceae,Clavaria
Lactarius_helvus,5248660,SPECIES,Russulales,Russulaceae,Lactarius
Melanoleuca_davisiae,5451437,SPECIES,Agaricales,Tricholomataceae,Melanoleuca
Boletus_paluster,5954880,SPECIES,Boletales,Boletaceae,Boletus
Boletus_edulis,9430654,SPECIES,Boletales,Boletaceae,Boletus
Lactarius_torminosus,8122710,SPECIES,Russulales,Russulaceae,Lactarius
Rickenella_fibula,9105286,SPECIES,Hymenochaetales,Rickenellaceae,Rickenella
Merismodes_fasciculata,2530382,SPECIES,Agaricales,Niaceae,Merismodes
Tricholomopsis_rutilans,2531814,SPECIES,Agaricales,Tricholomataceae,Tricholomopsis
Steccherinum_ochraceum,2545177,SPECIES,Polyporales,Steccherinaceae,Steccherinum
Clitocybula_oculus,3320431,SPECIES,Agaricales,Marasmiaceae,Clitocybula
Pholiota_squarrosoides,3343759,SPECIES,Agaricales,Strophariaceae,Pholiota
Postia_balsamea,5245245,SPECIES,Polyporales,Dacryobolaceae,Postia
Lactarius_rufus,5248684,SPECIES,Russulales,Russulaceae,Lactarius
Tricholoma_transmutans,5450490,SPECIES,Agaricales,Tricholomataceae,Tricholoma
Lactarius_subpurpureus,5463771,SPECIES,Russulales,Russulaceae,Lactarius
Postia_tephroleuca,9123949,SPECIES,Polyporales,Dacryobolaceae,Postia
Neoantrodia_variiformis,9682718,SPECIES,Polyporales,Fomitopsidaceae,Neoantrodia
Cortinarius_armeniacus,12012261,SPECIES,Agaricales,Cortinariaceae,Cortinarius
Xerocomellus_chrysenteron,2519413,SPECIES,Boletales,Boletaceae,Xerocomellus
Coltricia_cinnamomea,2519879,SPECIES,Hymenochaetales,Hymenochaetaceae,Coltricia
Gomphidius_glutinosus,2525027,SPECIES,Boletales,Gomphidiaceae,Gomphidius
Tectella_patellaris,2526823,SPECIES,Agaricales,Mycenaceae,Tectella
Pseudoarmillariella_ectypoides,2531561,SPECIES,Agaricales,Hygrophoraceae,Pseudoarmillariella
Hygrocybe_coccinea,2538445,SPECIES,Agaricales,Hygrophoraceae,Hygrocybe
