gbifID,eventDate,year,stateProvince,species,occurrenceID,region_code,geoc_maj,cl_pent,dep_sur,cl_drai,cl_haut,type_couv,origine,an_origine,perturb,an_perturb,ty_couv_et,densite,cl_age_et,tree_cover,richness_index,shannon_index
4506506800,2023-12-25T10:48:27,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/194828208,22C,"+26604,77+514333,73",A,6S,30.0,4,F,CT,2000.0,,,F,85.0,30,"{'PE': 0.9, 'BP': 0.1}",2,0.3250829733914482
4976508746,2024-10-26T12:16:03,2024.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/249203640,31F,"-644068,15+250428,91",F,R1A,20.0,1,M,,,,,R,65.0,120,{'PB': 1.0},1,-0.0
4946208588,2024-08-30T14:36,2024.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/240231534,31F,"-614828,28+242752,92",D,2BE,20.0,1,M,,,CHP,,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
4607489442,2023-09-27T11:35,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/204945723,31F,"-614828,28+242752,92",D,2BE,20.0,1,M,,,CHP,,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
4430643409,2023-10-13T13:24,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/187631483,31F,"-614828,28+242752,92",D,2BE,20.0,1,M,,,CHP,,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
4137716439,2022-10-02T16:04:41,2022.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/137370742,31F,"-612455,43+231764,48",D,2BE,20.0,1,R,,,,,R,75.0,VIN,"{'EB': 0.3, 'PB': 0.3, 'SB': 0.2, 'ER': 0.1, 'FT': 0.1}",5,1.5047882836811908
4129884385,2022-10-02T16:04:24,2022.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/140393626,31F,"-612455,43+231764,48",D,2BE,20.0,1,R,,,,,R,75.0,VIN,"{'EB': 0.3, 'PB': 0.3, 'SB': 0.2, 'ER': 0.1, 'FT': 0.1}",5,1.5047882836811908
4096869146,2023-04-21T13:08:17,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/155991630,31F,"-584769,18+211146,61",D,1AM,20.0,1,F,,,,,F,95.0,VIN,"{'CR': 0.5, 'ES': 0.4, 'FT': 0.1}",3,0.9433483923290391
3947716310,2022-10-09T11:15,2022.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/138667917,31F,"-616247,51+252508,79",D,1AM,20.0,1,F,,,CJG,2011.0,F,75.0,VIN,"{'CR': 0.7, 'ER': 0.2, 'FT': 0.1}",3,0.8018185525433372
3772709536,2022-04-17T13:49:02,2022.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/111822241,31F,"-590668,10+230071,53",D,R1A,20.0,2,F,,,,,F,95.0,VIN,"{'ES': 0.5, 'CR': 0.3, 'FT': 0.1, 'HG': 0.1}",4,1.1682824501765625
3456862583,2021-08-10T10:09,2021.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/104728044,31F,"-615825,98+250939,77",C,1A,30.0,3,F,,,,,F,95.0,30,"{'PE': 0.6, 'BP': 0.2, 'ER': 0.1, 'SE': 0.1}",4,1.0888999753452235
2868333510,2020-09-06T15:40:02,2020.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/58797987,31F,"-611821,12+232095,82",B,2BE,20.0,1,M,,,CP,,MF,65.0,JIN,"{'PE': 0.3, 'BP': 0.1, 'ER': 0.1, 'FT': 0.1, 'PB': 0.2, 'PR': 0.1, 'SE': 0.1}",7,1.8343719702816235
2620032470,2019-09-18T13:51,2019.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/43536031,31F,"-592300,24+208174,89",B,1AY,30.0,1,F,,,,,F,75.0,VIN,"{'EO': 0.4, 'CR': 0.3, 'FI': 0.1, 'FT': 0.1, 'RX': 0.1}",5,1.4184836619456564
2576291181,2019-09-18T13:50,2019.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/33044971,31F,"-592300,24+208174,89",B,1AY,30.0,1,F,,,,,F,75.0,VIN,"{'EO': 0.4, 'CR': 0.3, 'FI': 0.1, 'FT': 0.1, 'RX': 0.1}",5,1.4184836619456564
1412705098,1952-08,1952.0,Québec,Apioperdon pyriforme,CMMF013565,31F,"-592539,87+245793,73",A,2BE,20.0,3,M,,,,,MR,65.0,JIN,"{'EB': 0.4, 'SB': 0.1, 'TO': 0.1, 'FO': 0.2, 'PE': 0.2}",5,1.4708084763221114
617554952,1989-07-21,1989.0,Québec,Apioperdon pyriforme,CMMF000591,31G,"-433649,65+201698,55",A,5S,40.0,3,F,,,,,F,35.0,30,"{'EO': 0.3, 'FI': 0.2, 'FT': 0.2, 'BJ': 0.1, 'ES': 0.1, 'FH': 0.1}",6,1.6957425341696346
4950598615,2024-09-16T12:54:33,2024.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/242481149,31G,"-574814,29+197873,69",D,1AM,20.0,1,F,,,,,F,95.0,VIN,"{'ES': 0.5, 'CR': 0.2, 'FT': 0.1, 'HG': 0.1, 'TA': 0.1}",5,1.3592367006650063
4950433253,2024-09-24T11:21:29,2024.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/243867124,31G,"-472148,16+210534,04",D,1AY,31.0,2,F,,,,,F,85.0,JIN,"{'ES': 0.5, 'EO': 0.2, 'BP': 0.1, 'FR': 0.1, 'FT': 0.1}",5,1.3592367006650063
4946430331,2024-09-15T16:08:28,2024.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/242011500,31G,"-567243,47+223059,14",D,1A,30.0,2,F,,,CP,,F,65.0,JIN,"{'ES': 0.5, 'BP': 0.2, 'FR': 0.1, 'HG': 0.1, 'RX': 0.1}",5,1.3592367006650063
4946312401,2024-09-12T17:00:03,2024.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/241351683,31G,"-558501,75+212373,27",D,R1A,20.0,2,R,,,,,R,95.0,JIN,"{'PU': 0.7, 'PI': 0.1, 'FI': 0.1, 'FT': 0.1}",4,0.9404479886553263
4936114727,2022-09-18T13:50:33,2022.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/135556603,31G,"-580145,95+200559,17",D,R1A,20.0,2,F,,,,,F,75.0,VIN,"{'ES': 0.4, 'CR': 0.2, 'FT': 0.1, 'HG': 0.1, 'PB': 0.1, 'PU': 0.1}",6,1.6094379124341
4872637556,2023-09-17T13:17:28,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/183698089,31G,"-434461,96+197551,35",B,1A,30.0,1,F,,,,,F,95.0,VIN,"{'ES': 0.7, 'EO': 0.1, 'FT': 0.1, 'HG': 0.1}",4,0.9404479886553263
4872246764,2023-08-22T10:25:06,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/179697525,31G,"-562739,92+203042,10",A,1AY,30.0,1,M,,,CP,,MF,45.0,JIN,"{'EO': 0.2, 'ES': 0.2, 'PE': 0.2, 'FT': 0.1, 'PB': 0.2, 'SE': 0.1}",6,1.7480673485460894
4872245922,2023-06-07T13:32,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/198541452,31G,"-436892,94+181024,92",D,6S,20.0,1,M,,,,,MR,75.0,VIN,"{'PU': 0.4, 'PB': 0.2, 'RX': 0.1, 'BJ': 0.1, 'EO': 0.1, 'FT': 0.1}",6,1.6094379124341
4872062151,2022-05-20T17:38,2022.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/198447258,31G,"-436646,87+180934,79",A,6S,30.0,1,F,,,,,F,95.0,VIN,"{'EO': 0.4, 'FT': 0.2, 'HG': 0.2, 'PB': 0.1, 'PU': 0.1}",5,1.4708084763221112
4872038713,2023-08-11T17:27:54,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/177892796,31G,"-558501,75+212373,27",D,R1A,20.0,2,R,,,,,R,95.0,JIN,"{'PU': 0.7, 'PI': 0.1, 'FI': 0.1, 'FT': 0.1}",4,0.9404479886553263
4599836482,2024-03-05T11:30,2024.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/201748257,31G,"-514287,88+201284,61",A,3AN,40.0,1,F,,,,,F,85.0,JIN,"{'EA': 0.4, 'FR': 0.2, 'FT': 0.2, 'EO': 0.1, 'PE': 0.1}",5,1.4708084763221112
4507670274,2023-12-29T11:47,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/195204619,31G,"-573884,51+187570,77",A,5A,40.0,1,M,,,CP,,MF,85.0,VIN,"{'PE': 0.4, 'ER': 0.1, 'FX': 0.1, 'TO': 0.3, 'SE': 0.1}",5,1.4184836619456564
4507592532,2021-10-09T11:21:26,2021.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/97775076,31G,"-456078,60+177003,94",A,1A,30.0,2,F,,,,,F,75.0,JIN,"{'FR': 0.6, 'EO': 0.2, 'PE': 0.2}",3,0.9502705392332347
4506231166,2023-10-02T17:27,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/186056595,31G,"-514350,50+201614,25",A,3AN,50.0,1,F,,,CP,,F,65.0,JIN,"{'PE': 0.5, 'EA': 0.2, 'EO': 0.1, 'FR': 0.1, 'FT': 0.1}",5,1.3592367006650063
4414390896,2023-09-18T16:33,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/183936844,31G,"-566063,99+213256,87",C,1A,40.0,1,M,,,CP,,MM,65.0,VIN,"{'SB': 0.3, 'EB': 0.2, 'PE': 0.3, 'BP': 0.1, 'ER': 0.1}",5,1.5047882836811908
4129750368,2022-09-06T09:03:08,2022.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/133905200,31G,"-558215,78+212510,88",F,1AY,30.0,2,R,,,,,R,95.0,JIN,"{'PU': 0.7, 'PI': 0.1, 'FI': 0.1, 'FT': 0.1}",4,0.9404479886553263
4102926677,2023-04-30T11:21:55,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/159195309,31G,"-571633,61+184243,58",A,5S,30.0,1,F,,,CP,,F,45.0,VIN,"{'FH': 0.3, 'EO': 0.2, 'FT': 0.2, 'FI': 0.1, 'EB': 0.1, 'PR': 0.1}",6,1.6957425341696346
4102621437,2022-09-03T09:23:45,2022.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/133457741,31G,"-558215,78+212510,88",F,1AY,30.0,2,R,,,,,R,95.0,JIN,"{'PU': 0.7, 'PI': 0.1, 'FI': 0.1, 'FT': 0.1}",4,0.9404479886553263
