gbifID,eventDate,year,stateProvince,species,genus,family,occurrenceID,region_code,geoc_maj,cl_pent,dep_sur,cl_drai,cl_haut,type_couv,origine,an_origine,perturb,an_perturb,ty_couv_et,densite,cl_age_et,tree_cover,richness_index,shannon_index
2397498478,2019-08-11T10:30:53,2019,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/30612997,22A,"+300292,67+537658,66",B,1AY,30.0,3,M,,,,,MR,65.0,JIN,"{'SB': 0.6, 'EB': 0.1, 'PE': 0.2, 'BP': 0.1}",4,1.0888999753452235
4171362476,2022-08-13T13:30,2022,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/130690405,22B,"+159846,00+471167,18",D,8AM,20.0,4,F,ES,1978.0,,,F,95.0,30,"{'BP': 0.5, 'BJ': 0.2, 'ER': 0.1, 'FN': 0.1, 'PE': 0.1}",5,1.3592367006650063
4028614741,2022-07-17T21:57,2022,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/129094716,22B,"+174934,29+461964,33",F,8C,20.0,3,M,,,,,MR,75.0,VIN,"{'PB': 0.3, 'SB': 0.2, 'EB': 0.1, 'TO': 0.1, 'BP': 0.2, 'FX': 0.1}",6,1.6957425341696346
2397487424,2019-07-21T15:13:09,2019,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/29273735,22B,"+103263,85+447721,20",D,8AY,30.0,2,F,,,,,F,75.0,JIN,"{'PE': 0.4, 'EO': 0.3, 'BP': 0.2, 'SB': 0.1}",4,1.2798542258336674
1135069796,2004-09-05,2004,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,CMMF008263,22B,"+167833,25+542235,09",C,8AM,30.0,3,R,CT,1974.0,,,R,85.0,70,"{'SB': 0.7, 'EB': 0.1, 'EN': 0.1, 'BP': 0.1}",4,0.9404479886553263
1135069711,2013-08-18,2013,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,CMMF008250,22B,"+168491,94+542173,58",C,8A,30.0,3,R,,,,,R,75.0,VIN,"{'SB': 0.7, 'EN': 0.2, 'EB': 0.1}",3,0.8018185525433372
4524969217,2023-07-31T13:11,2023,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/179918762,22C,"-91563,30+462302,82",E,1AM,20.0,3,F,,,,,F,75.0,70,"{'PE': 0.6, 'BP': 0.2, 'EO': 0.1, 'RX': 0.1}",4,1.0888999753452235
4171345391,2020-09-20T09:14,2020,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/60308606,22C,"-3127,41+493078,00",A,3AN,40.0,2,F,,,,,F,55.0,70,"{'PA': 0.9, 'RX': 0.1}",2,0.3250829733914482
1500299073,2015-08-06T14:13,2015,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/5911519,22C,"-107353,34+473724,73",D,1AM,30.0,4,M,,,,,M,75.0,30,"{'SB': 0.3, 'EB': 0.1, 'TO': 0.1, 'BP': 0.4, 'EO': 0.1}",5,1.4184836619456562
4852850602,2023-07-15T14:51,2023,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/208503803,31F,"-590644,21+208946,54",D,R1A,20.0,2,M,,,,,MF,75.0,JIN,"{'CR': 0.4, 'ER': 0.2, 'FT': 0.1, 'PB': 0.2, 'PU': 0.1}",5,1.4708084763221112
