Occurrences,Scientific name,Kingdom,Phylum,Class,Order,Family,Genus,Species
56,Crucibulum laeve (Huds.) Kambly,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Nidulariaceae,Crucibulum,Crucibulum laeve
56,Cortinarius armillatus (Fr.) Fr.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius armillatus
56,Marasmius rotula (Scop.) Fr.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Marasmius,Marasmius rotula
55,Lactarius salmonicolor R.Heim & Leclair,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius salmonicolor
54,Leucocoprinus birnbaumii (Corda) Singer,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucocoprinus,Leucocoprinus birnbaumii
53,Hypholoma lateritium (Schaeff.) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Hypholoma,Hypholoma lateritium
53,Lactarius lignyotus Fr.,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius lignyotus
51,Poronidulus conchifer (Schwein.) Murrill,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Poronidulus,Poronidulus conchifer
50,Phellinus tremulae (Bondartsev) Bondartsev & P.N.Borisov,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Phellinus,Phellinus tremulae
50,Sebacina schweinitzii (Peck) Oberw.,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Sebacina,Sebacina schweinitzii
49,Pholiota limonella (Peck) Sacc.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Pholiota,Pholiota limonella
49,Asterophora lycoperdoides (Bull.) Ditmar,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Asterophora,Asterophora lycoperdoides
48,Ductifera pululahuana (Pat.) Donk,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,,Ductifera,Ductifera pululahuana
48,Guepinia helvelloides (DC.) Fr.,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,,Guepinia,Guepinia helvelloides
47,"Hydnoporia tabacina (Sowerby) Spirin, Miettinen & K.H.Larss.",Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Hydnoporia,Hydnoporia tabacina
46,Hygrophoropsis aurantiaca (Wulfen) Maire,Fungi,Basidiomycota,Agaricomycetes,Boletales,Hygrophoropsidaceae,Hygrophoropsis,Hygrophoropsis aurantiaca
46,Xeromphalina campanella (Batsch) Kühner & Maire,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Xeromphalina,Xeromphalina campanella
46,Physalacria inflata (Fr.) Peck,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Physalacria,Physalacria inflata
46,Bjerkandera adusta (Willd.) P.Karst.,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Bjerkandera,Bjerkandera adusta
46,Amanita spreta (Peck) Sacc.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita spreta
46,Trametes hirsuta (Wulfen) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes hirsuta
45,Pleurocybella porrigens (Pers.) Singer,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Pleurocybella,Pleurocybella porrigens
